"foreignworker";"status";"credithistory";"purpose";"savings";"employmentsince";"otherdebtors";"property";"otherinstallments";"housing";"job";"phone";"duration";"creditamount";"installmentrate";"residencesince";"age";"numberofexsistingcredits";"numberofliablepeople";"gender";"creditworthy";"creditamout_per_month"
"yes";"< 0 Euro";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";6;1169;4;4;67;2;1;"male";"Worthy";194.83333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";48;5951;2;2;22;1;1;"female";"Not Worthy";123.97916666666667
"yes";"no checking account";"critical account/";"education";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;2096;2;3;49;1;2;"male";"Worthy";174.66666666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"4 <= ... < 7 years";"guarantor";"building society savings agreement/ life insurance";"none";"for free";"skilled employee / official";"none";42;7882;2;4;45;1;2;"male";"Worthy";187.66666666666666
"yes";"< 0 Euro";"delay in paying off in the past";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";24;4870;3;4;53;2;2;"male";"Not Worthy";202.91666666666666
"yes";"no checking account";"existing credits paid back duly till now";"education";"unknown/ no savings account";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"unskilled - resident";"yes, registered under the customers name";36;9055;2;4;35;1;2;"male";"Worthy";251.52777777777777
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";24;2835;3;4;53;1;1;"male";"Worthy";118.125
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"rent";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";36;6948;2;2;35;1;1;"male";"Worthy";193.0
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";".. >= 1000 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;3059;2;4;61;1;1;"male";"Worthy";254.91666666666666
"yes";"< 200 Euro";"critical account/";"car (new)";"... < 100 Euro";"unemployed";"none";"car or other";"none";"own";"management/ self-employed/ highly qualified employ";"none";30;5234;4;2;28;2;1;"male";"Not Worthy";174.46666666666667
